College Name,Location,Rating,Reviews,NIRF Ranking,College URL
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,N/A,4.3/5,277 Reviews,NIRF Ranking: 82,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur
AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur,N/A,4.6/5,4 Reviews,NIRF Ranking: 83,https://www.careers360.com/university/all-india-institute-of-medical-sciences-jodhpur
"Sathyabama University - Sathyabama Institute of Science and Technology, Chennai",N/A,4.2/5,164 Reviews,NIRF Ranking: 85,https://www.careers360.com/university/sathyabama-institute-of-science-and-technology-chennai
"Mysore University - University of Mysore, Mysore",N/A,4.2/5,22 Reviews,NIRF Ranking: 86,https://www.careers360.com/university/university-of-mysore-mysore
"Jammu University - University of Jammu, Jammu",N/A,3.7/5,50 Reviews,NIRF Ranking: 87,https://www.careers360.com/university/university-of-jammu-jammu
"KGMU Lucknow - King George's Medical University, Lucknow",N/A,4.6/5,19 Reviews,NIRF Ranking: 88,https://www.careers360.com/university/king-georges-medical-university-lucknow
"Shoolini University Solan - Shoolini University of Biotechnology and Management Sciences, Solan",N/A,4.4/5,173 Reviews,NIRF Ranking: 89,https://www.careers360.com/university/shoolini-university-of-biotechnology-and-management-sciences-solan
"Christ University - Christ University, Bangalore",N/A,4.2/5,461 Reviews,NIRF Ranking: 90,https://www.careers360.com/university/christ-university-bangalore
"Bharath Institute of Higher Education and Research, Chennai",N/A,3.8/5,70 Reviews,NIRF Ranking: 91,https://www.careers360.com/university/bharath-institute-of-higher-education-and-research-chennai
NIT Silchar - National Institute of Technology Silchar,N/A,4.4/5,165 Reviews,NIRF Ranking: 92,https://www.careers360.com/university/national-institute-of-technology-silchar
NIT Durgapur - National Institute of Technology Durgapur,N/A,4.1/5,168 Reviews,NIRF Ranking: 93,https://www.careers360.com/university/national-institute-of-technology-durgapur
"Gujarat University - Gujarat University, Ahmedabad",N/A,3.8/5,20 Reviews,NIRF Ranking: 94,https://www.careers360.com/university/gujarat-university-ahmedabad
"Shiv Nadar University, Greater Noida",N/A,4.6/5,100 Reviews,NIRF Ranking: 95,https://www.careers360.com/university/shiv-nadar-university-greater-noida
"Sri Ramachandra Institute of Higher Education and Research, Chennai",N/A,4.3/5,3 Reviews,NIRF Ranking: 96,https://www.careers360.com/university/sri-ramachandra-institute-of-higher-education-and-research-chennai
"ANU Guntur - Acharya Nagarjuna University, Guntur",N/A,4.8/5,94 Reviews,NIRF Ranking: 97,https://www.careers360.com/university/acharya-nagarjuna-university-guntur
"TISS Mumbai - Tata Institute of Social Sciences, Mumbai",N/A,4.7/5,83 Reviews,NIRF Ranking: 98,https://www.careers360.com/university/tata-institute-of-social-sciences-mumbai
AIIMS Patna - All India Institute of Medical Sciences Patna,N/A,4.8/5,2 Reviews,NIRF Ranking: 99,https://www.careers360.com/university/all-india-institute-of-medical-sciences-patna
"Periyar University - Periyar University, Salem",N/A,4.4/5,13 Reviews,NIRF Ranking: 100,https://www.careers360.com/university/periyar-university-salem
"Ashoka University, Sonepat",N/A,4.5/5,2 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/ashoka-university-sonepat
"Banasthali Vidyapith, Banasthali",N/A,4.5/5,585 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/banasthali-vidyapith-banasthali
"Bangalore University - Bangalore University, Bangalore",N/A,4.4/5,18 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/bangalore-university-bangalore
"BIT Mesra - Birla Institute of Technology, Mesra",N/A,4.2/5,215 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/birla-institute-of-technology-mesra
"Central University of Punjab, Bathinda",N/A,4.6/5,37 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/central-university-of-punjab-bathinda
"Central University of Tamil Nadu, Thiruvarur",N/A,4.4/5,6 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/central-university-of-tamil-nadu-thiruvarur
"CCSHAU Hisar - Chaudhary Charan Singh Haryana Agricultural University, Hisar",N/A,4.4/5,18 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/chaudhary-charan-singh-haryana-agricultural-university-hisar
"Chettinad Academy of Research and Education, Kelambakkam",N/A,4.0/5,3 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/chettinad-academy-of-research-and-education-kelambakkam
"Chitkara University - Chitkara University, Patiala",N/A,4.2/5,313 Reviews,NIRF Ranking: 101-150,https://www.careers360.com/university/chitkara-university-patiala
