College Name,Location,Rating,Reviews,NIRF Ranking,College URL
"Amity University, Noida",N/A,4.1/5,401 Reviews,NIRF Ranking: 49,https://www.careers360.com/colleges/amity-institute-of-pharmacy-noida/mpharma-pharmaceutics-course
"Kalasalingam Academy of Research and Education, Virudhunagar",N/A,4.0/5,35 Reviews,NIRF Ranking: 50,https://www.careers360.com/university/kalasalingam-academy-of-research-and-education-virudhunagar/mca-course
"CUSAT Kochi - Cochin University of Science and Technology, Kochi",N/A,4.3/5,36 Reviews,NIRF Ranking: 51,https://www.careers360.com/colleges/cochin-university-college-of-engineering-kuttanad/mca-course
NIT Warangal - National Institute of Technology Warangal,N/A,4.6/5,142 Reviews,NIRF Ranking: 53,https://www.careers360.com/university/national-institute-of-technology-warangal/mtech-construction-technology-and-management-course
NIT Calicut - National Institute of Technology Calicut,N/A,4.3/5,154 Reviews,NIRF Ranking: 54,https://www.careers360.com/university/national-institute-of-technology-calicut/mca-course
"Bharathidasan University - Bharathidasan University, Tiruchirappalli",N/A,4.2/5,7 Reviews,NIRF Ranking: 55,https://www.careers360.com/colleges/annai-college-of-arts-and-science-kumbakonam/mca-course
"ICT Mumbai - Institute of Chemical Technology, Mumbai",N/A,4.5/5,25 Reviews,NIRF Ranking: 56,https://www.careers360.com/colleges/institute-of-chemical-technology-mumbai-marathwada-campus-jalna/mtech-chemical-engineering-integrated-course
"Gauhati University - Gauhati University, Guwahati",N/A,3.9/5,28 Reviews,NIRF Ranking: 57,https://www.careers360.com/university/gauhati-university-guwahati/msc-mathematics-course
"BBAU Lucknow - Babasaheb Bhimrao Ambedkar University, Lucknow",N/A,4.4/5,46 Reviews,NIRF Ranking: 58,https://www.careers360.com/university/babasaheb-bhimrao-ambedkar-university-lucknow/msc-mathematics-course
"Panjab University (PUCHD) - Panjab University, Chandigarh",N/A,4.2/5,127 Reviews,NIRF Ranking: 60,https://www.careers360.com/colleges/national-institute-of-technical-teachers-training-and-research-chandigarh/me-civil-engineering-construction-technology-and-manageme
IISER Kolkata - Indian Institute of Science Education and Research Kolkata,N/A,3.9/5,4 Reviews,NIRF Ranking: 61,https://www.careers360.com/university/indian-institute-of-science-education-and-research-kolkata/ms-chemical-sciences-course
"Jamia Hamdard, New Delhi",N/A,4.4/5,111 Reviews,NIRF Ranking: 62,https://www.careers360.com/university/jamia-hamdard-new-delhi/mtech-computer-science-and-engineering-part-time-course
IISER Mohali - Indian Institute of Science Education and Research Mohali,N/A,4.3/5,10 Reviews,NIRF Ranking: 64,https://www.careers360.com/university/indian-institute-of-science-education-and-research-mohali/ms-phd-biology-integrated-course
"Madras University - University of Madras, Chennai",N/A,4.4/5,9 Reviews,NIRF Ranking: 64,https://www.careers360.com/colleges/measi-institute-of-information-technology-chennai/mca-course
"DTU Delhi - Delhi Technological University, Delhi",N/A,4.5/5,445 Reviews,NIRF Ranking: 66,https://www.careers360.com/university/delhi-technological-university-delhi/mtech-artificial-intelligence-course
"MG University (MGU) - Mahatma Gandhi University, Kottayam",N/A,3.6/5,6 Reviews,NIRF Ranking: 67,https://www.careers360.com/colleges/mar-athanasios-college-for-advanced-studies-tiruvalla/mca-course
IIT Jodhpur - Indian Institute of Technology Jodhpur,N/A,4.4/5,68 Reviews,NIRF Ranking: 68,https://www.careers360.com/university/indian-institute-of-technology-jodhpur/msc-mathematics-course
"Kashmir University - University of Kashmir, Srinagar",N/A,4.0/5,20 Reviews,NIRF Ranking: 69,https://www.careers360.com/university/university-of-kashmir-srinagar/msc-mathematics-course
